fecha_hora_inicio,fecha_hora_fin,precio_total,estado
2025-06-15 05:00:00-04:00,2025-06-15 07:00:00-04:00,10427.00,CONFIRMADA
2025-06-15 07:00:00-04:00,2025-06-15 09:00:00-04:00,11898.00,CANCELADA
2025-06-15 10:00:00-04:00,2025-06-15 12:00:00-04:00,21546.00,CONFIRMADA
2025-06-15 11:00:00-04:00,2025-06-15 13:00:00-04:00,14940.00,PENDIENTE
2025-06-15 11:00:00-04:00,2025-06-15 13:00:00-04:00,24877.00,CONFIRMADA
2025-06-15 18:00:00-04:00,2025-06-15 20:00:00-04:00,18061.00,PENDIENTE
2025-06-16 05:00:00-04:00,2025-06-16 06:00:00-04:00,17603.00,CONFIRMADA
2025-06-16 05:00:00-04:00,2025-06-16 07:00:00-04:00,22746.00,NO_SHOW
2025-06-16 06:00:00-04:00,2025-06-16 07:00:00-04:00,15654.00,CONFIRMADA
2025-06-16 06:00:00-04:00,2025-06-16 07:00:00-04:00,15423.00,PENDIENTE
2025-06-16 07:00:00-04:00,2025-06-16 08:00:00-04:00,11071.00,CANCELADA
2025-06-16 10:00:00-04:00,2025-06-16 12:00:00-04:00,14408.00,PENDIENTE
2025-06-16 13:00:00-04:00,2025-06-16 14:00:00-04:00,24815.00,CONFIRMADA
2025-06-16 18:00:00-04:00,2025-06-16 19:00:00-04:00,12910.00,CONFIRMADA
2025-06-17 04:00:00-04:00,2025-06-17 05:00:00-04:00,19079.00,PENDIENTE
2025-06-17 06:00:00-04:00,2025-06-17 07:00:00-04:00,22566.00,CONFIRMADA
2025-06-17 11:00:00-04:00,2025-06-17 12:00:00-04:00,14256.00,CANCELADA
2025-06-17 11:00:00-04:00,2025-06-17 12:00:00-04:00,21899.00,CONFIRMADA
2025-06-17 14:00:00-04:00,2025-06-17 15:00:00-04:00,16325.00,CONFIRMADA
2025-06-18 07:00:00-04:00,2025-06-18 08:00:00-04:00,22140.00,NO_SHOW
2025-06-18 08:00:00-04:00,2025-06-18 09:00:00-04:00,15529.00,CONFIRMADA
2025-06-18 10:00:00-04:00,2025-06-18 12:00:00-04:00,21037.00,CONFIRMADA
2025-06-18 12:00:00-04:00,2025-06-18 14:00:00-04:00,22287.00,CONFIRMADA
2025-06-18 16:00:00-04:00,2025-06-18 18:00:00-04:00,12019.00,NO_SHOW
